ScientificName;VernacularName;UUID
Bubo bubo (Linnaeus, 1758);Uhu;2d81551d-8dd6-4aa4-a9c7-3a05878a247f
Turdus pilaris Linnaeus, 1758;Wacholderdrossel;2aca948d-6da7-4a3d-a7cf-a6e7c0f16273
Coturnix coturnix (Linnaeus, 1758);Wachtel;f3fe72bf-c588-4705-8fd5-ae194046df55
Crex crex (Linnaeus, 1758);Wachtelkönig;c2c8af04-010f-42ba-a1e1-fe3993ce01c4
Certhia familiaris Linnaeus, 1758;Waldbaumläufer;3ba8b000-150d-4a0b-8e3f-5779eccb48ae
Strix aluco Linnaeus, 1758;Waldkauz;7c1aabd6-3202-4a54-a094-4723fdc1e15b
Phylloscopus sibilatrix (Bechstein, 1793);Waldlaubsänger;ac1750fa-d9bb-471d-9c37-ff4d0d38bf8f
Asio otus (Linnaeus, 1758);Waldohreule;7fecd71e-1b1c-41e6-8cb5-021f23a90cbe
Geronticus eremita (Linnaeus, 1758);Waldrapp;cc4060cd-6141-4bcb-8053-cbe98ec06834
Scolopax rusticola Linnaeus, 1758;Waldschnepfe;758cd15c-faed-4b48-ae47-200b71e4cd3e
Tringa ochropus Linnaeus, 1758;Waldwasserläufer;1e7fc441-4a41-4dfc-8502-f285d350e962
